2018-03-24 10:39:32.706	[RPC0]	WARN 	net.http	src/wallet/wallet_errors.h:707	/DISTRIBUTION-BUILD/src/wallet/wallet2.cpp:1216:N5tools5error23no_connection_to_daemonE: no connection to daemon, request = getblocks.bin
2018-03-24 10:39:32.706	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:120	Exception: tools::error::no_connection_to_daemon
2018-03-24 10:39:32.706	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:121	Unwound call stack:
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [1] ./monero-wallet-rpc:__wrap___cxa_throw+0x102 [0x87f762]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [2] ./monero-wallet-rpc:void tools::error::throw_wallet_ex<tools::error::no_connection_to_daemon, char [14]>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const (&) [14])+0x16a [0x7b893a]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [3] ./monero-wallet-rpc:tools::wallet2::pull_blocks(unsigned long, unsigned long&, std::__cxx11::list<crypto::hash, std::allocator<crypto::hash> > const&, std::__cxx11::list<cryptonote::block_complete_entry, std::allocator<cryptonote::block_complete_entry> >&, std::vector<cryptonote::COMMAND_RPC_GET_BLOCKS_FAST::block_output_indices, std::allocator<cryptonote::COMMAND_RPC_GET_BLOCKS_FAST::block_output_indices> >&)+0x6b8 [0x76e0c8]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [4] ./monero-wallet-rpc:tools::wallet2::refresh(unsigned long, unsigned long&, bool&)+0x1bc [0x78095c]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [5] ./monero-wallet-rpc:tools::wallet2::refresh()+0x33 [0x781743]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [6] ./monero-wallet-rpc() [0x6b069d]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [7] ./monero-wallet-rpc:epee::net_utils::boosted_tcp_server<epee::net_utils::http::http_custom_handler<epee::net_utils::connection_context_base> >::global_timer_handler(boost::shared_ptr<epee::net_utils::boosted_tcp_server<epee::net_utils::http::http_custom_handler<epee::net_utils::connection_context_base> >::idle_callback_conext_base>)+0x25 [0x6dc8d5]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [8] ./monero-wallet-rpc:boost::asio::detail::wait_handler<boost::_bi::bind_t<bool, boost::_mfi::mf1<bool, epee::net_utils::boosted_tcp_server<epee::net_utils::http::http_custom_handler<epee::net_utils::connection_context_base> >, boost::shared_ptr<epee::net_utils::boosted_tcp_server<epee::net_utils::http::http_custom_handler<epee::net_utils::connection_context_base> >::idle_callback_conext_base> >, boost::_bi::list2<boost::_bi::value<epee::net_utils::boosted_tcp_server<epee::net_utils::http::http_custom_handler<epee::net_utils::connection_context_base> >*>, boost::_bi::value<boost::shared_ptr<epee::net_utils::boosted_tcp_server<epee::net_utils::http::http_custom_handler<epee::net_utils::connection_context_base> >::idle_callback_conext_base> > > > >::do_complete(boost::asio::detail::task_io_service*, boost::asio::detail::task_io_service_operation*, boost::system::error_code const&, unsigned long)+0xfc [0x6c422c]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [9] ./monero-wallet-rpc:epee::net_utils::boosted_tcp_server<epee::net_utils::http::http_custom_handler<epee::net_utils::connection_context_base> >::worker_thread()+0x807 [0x6deae7]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [10] ./monero-wallet-rpc() [0x8c6a75]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [11] /lib/x86_64-linux-gnu/libpthread.so.0+0x76ba [0x7f576da576ba]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [12] /lib/x86_64-linux-gnu/libc.so.6:clone+0x6d [0x7f576d78d41d]
2018-03-24 10:39:32.712	[RPC0]	INFO 	stacktrace	src/common/stack_trace.cpp:159	
2018-03-24 10:39:32.713	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:99	Exception at while refreshing, what=no connection to daemon
2018-03-24 11:09:43.582	    7fa09ee08740	INFO 	logging	contrib/epee/src/mlog.cpp:148	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2018-03-24 11:09:43.583	    7fa09ee08740	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Monero 'Helium Hydra' (v0.11.1.0-release)
2018-03-24 11:09:43.584	    7fa09ee08740	INFO 	msgwriter	src/common/scoped_message_writer.h:102	Logging to ./monero-wallet-rpc.log
2018-03-24 11:09:43.584	    7fa09ee08740	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:1853	Loading wallet...
2018-03-24 11:09:43.750	    7fa09ee08740	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:2505	Loaded wallet keys file, with public address: 45hdzyowrbALQEj9U8DDdbTP9moSnCk7P8m7ZshypUzzL8LG1uf4GS5QyojrvKTauD8EkThfdECqG8VxAwn1Ly1fKD6LnPq
2018-03-24 11:09:45.883	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Exception: std::bad_alloc
2018-03-24 11:09:45.884	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:121	Unwound call stack:
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [1] ./monero-wallet-rpc:__wrap___cxa_throw+0x102 [0x87f762]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [2] ./monero-wallet-rpc() [0xb9285c]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [3] ./monero-wallet-rpc:std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve(unsigned long)+0x7d [0xc059fd]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [4] ./monero-wallet-rpc:std::__cxx11::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::overflow(int)+0xe5 [0xbc9b65]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [5] ./monero-wallet-rpc:std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)+0x89 [0xbd5639]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [6] ./monero-wallet-rpc:std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)+0x1a6 [0xbade56]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [7] ./monero-wallet-rpc:tools::wallet2::load(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0x96c [0x75c52c]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [8] ./monero-wallet-rpc:tools::wallet2::make_from_file(boost::program_options::variables_map const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)+0xf5 [0x75d535]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [9] ./monero-wallet-rpc:main+0xfc3 [0x6a2ff3]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [10] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7fa09e11e830]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [11] ./monero-wallet-rpc:_start+0x29 [0x6abeb9]
2018-03-24 11:09:45.906	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	
2018-03-24 11:09:48.395	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:120	Exception: boost::archive::archive_exception
2018-03-24 11:09:48.397	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:121	Unwound call stack:
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [1] ./monero-wallet-rpc:__wrap___cxa_throw+0x102 [0x87f762]
2018-03-24 11:09:48.442	    7fa09ee08740	INFO 	stacktrace	src/common/stack_trace.cpp:159	    [2] ./monero-wallet-rpc() [0x7ae149]
